Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|7.100592114284154e-09,1.0000001192092896,6.188738410628503e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|1.0649118920014189e-08,1.0000001192092896,9.281565738206154e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|1.2207975963463014e-08,1.0000001192092896,1.0640234471281929e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|7.808130142450409e-09,1.0000001192092896,6.805414898281015e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|3.4120521963387773e-09,1.0000001192092896,2.9738784768085225e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-9.802600953179308e-10,1.0000001192092896,-8.54375681313968e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-5.368814282036283e-09,1.0000001192092896,-4.6793542374246044e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-9.753612140173118e-09,1.0000001192092896,-8.501059411969436e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-1.0319044285722612e-08,1.0000001192092896,-8.993878530816346e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-6.258192186692213e-09,1.0000001192092896,-5.4545186145560365e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-3.823764860300116e-09,1.0000001192092896,-3.3327192117127424e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|-5.802888725092714e-10,1.0000001192092896,-5.057685381615329e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|2.660414999411387e-09,1.0000001192092896,2.3187660680434874e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|5.898347144039917e-09,1.0000001192092896,5.140885050991528e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|9.133509948355822e-09,1.0000001192092896,7.960590409084034e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6583609580993652,0,0.7527024149894714|9.712831428032587e-09,1.0000001192092896,8.495454117962709e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6596754193305969,0,0.7515507340431213|6.8770624750413845e-09,1,6.036357635963441e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6596754193305969,0,0.7515507340431213|2.1794501758876095e-09,1,1.913017522170435e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-1.6227541532742862e-09,1,-1.429398710506291e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-5.41834399570007e-09,1,-4.772733763758197e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-8.262900585975785e-09,1,-7.278353919559777e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-9.511377463411463e-09,1,-8.37807156983672e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-7.1212791219466e-09,1,-6.2727600891321345e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-3.936869052978409e-09,1,-3.4677807292382568e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-7.551805292216329e-10,1,-6.651987849437546e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|2.4237860607456696e-09,1,2.134985521706767e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|5.600032437769187e-09,1,4.932773745025543e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|8.773563209274471e-09,1,7.728169215681646e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|1.194438148388599e-08,1,1.0521177706834806e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|7.987726036162712e-09,1,7.0359673642883536e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|4.034462985913478e-09,1,3.5537459641687974e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|8.458404116007401e-11,1,7.450563083155615e-11|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-3.8619121234262366e-09,1,-3.401754877785379e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-7.805025958873557e-09,1,-6.8750365400660485e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-1.0026758978654016e-08,1,-8.832044429141206e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-7.094793197381932e-09,1,-6.2494298624926614e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-4.165335631967082e-09,1,-3.669024861707726e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|-1.2383882808109092e-09,1,-1.0908309810986339e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|2.416771227586878e-09,1,2.128806686485518e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|4.607989989580119e-09,1,4.058935854089896e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|8.256888506252835e-09,1,7.273058599821525e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6609861850738525,0,0.7503980994224548|1.1173194813807186e-08,1,9.841879311522916e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6622941493988037,0,0.7492439150810242|-3.315363761302592e-09,1,-2.9306157500741392e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|-7.533548007643276e-09,1,-6.753632764144868e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|-1.071021760168378e-08,1,-9.601435202455377e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|-7.97404808849933e-09,1,-7.148529768130629e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|-5.240226474967358e-09,1,-4.697728872571361e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|-2.5087403265899866e-09,1,-2.24902163559193e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|2.2040658187449935e-10,1,1.975888480609811e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|2.947217359050569e-09,1,2.642104979244664e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|5.671692893116642e-09,1,5.084527465726296e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|8.393837624964817e-09,1,7.524860734520189e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|1.1113653108907329e-08,1,9.963105895849367e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|8.683135099829542e-09,1,7.784208833072626e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6675130724906921,0,0.7445980310440063|4.539424836025319e-09,1,4.069478087842526e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|3.4212302435499e-10,1,3.0778429804811935e-10|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|-3.8444847305640906e-09,1,-3.458615616125371e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|-8.027512876651599e-09,1,-7.221795161882483e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|-8.87734952215169e-09,1,-7.986334260579042e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|-5.77882985908218e-09,1,-5.198811159345951e-09|Running
