yahayuk zepetto|false|12018
-925.6182250976562,171.77294921875,869.6875610351562|0.9965552687644958,-1.9118134630957684e-08,0.08293114602565765|1.951251782372765e-08,1,-3.945046067599378e-09|Running
-925.266357421875,171.77757263183594,869.4973754882812|0.9965552687644958,-1.527981829951841e-08,0.0829315260052681|1.559502216252895e-08,1,-3.153002747779965e-09|Running
-924.6494750976562,171.7844696044922,869.166748046875|0.9970202445983887,-2.6752893234061048e-08,0.07714007049798965|2.7259257961986805e-08,1,-5.511269218771986e-09|Running
-924.0321044921875,171.7894744873047,868.8369140625|0.9974516034126282,-2.675653121286814e-08,0.07134626060724258|2.721851544151832e-08,1,-5.503028255304798e-09|Running
-923.6776123046875,171.79165649414062,868.651611328125|0.9974515438079834,-1.5271488962298463e-08,0.07134678214788437|1.5535173147895875e-08,1,-3.1408906586705143e-09|Running
-923.4105834960938,171.79275512695312,868.514892578125|0.9974515438079834,-1.1445048464509e-08,0.07134708017110825|1.164266372200018e-08,1,-2.3539052929066884e-09|Running
-922.96337890625,171.7937469482422,868.2913208007812|0.9974515438079834,-1.905878654895332e-08,0.07134729623794556|1.9387865535236415e-08,1,-3.919823132747524e-09|Running
-922.5140991210938,171.79420471191406,868.0718383789062|0.9974514842033386,-1.903844015771483e-08,0.07134765386581421|1.9367169201700563e-08,1,-3.915633151052589e-09|Running
-922.0634155273438,171.79441833496094,867.855224609375|0.9974514842033386,-1.901809909554686e-08,0.07134801149368286|1.934647819723523e-08,1,-3.911447166160542e-09|Running
-921.6102294921875,171.7945098876953,867.6438598632812|0.9974516034126282,-1.8997798889586193e-08,0.07134596258401871|1.9325817390836164e-08,1,-3.907268286695853e-09|Running
-921.1554565429688,171.79454040527344,867.43603515625|0.9974518418312073,-1.8977523552621278e-08,0.07134269177913666|1.9305172571648654e-08,1,-3.903094292212472e-09|Running
-920.700439453125,171.79454040527344,867.2288208007812|0.9974518418312073,-1.895725709744056e-08,0.07134303450584412|1.9284557950527415e-08,1,-3.8989234063535605e-09|Running
-920.33642578125,171.79454040527344,867.0630493164062|0.9974518418312073,-1.5151242038768942e-08,0.07134336233139038|1.54128318996527e-08,1,-3.116139346559521e-09|Running
-919.8814086914062,171.79454040527344,866.8558349609375|0.997451901435852,-1.8920877309369644e-08,0.07134243100881577|1.924754577942167e-08,1,-3.89143073320497e-09|Running
-919.4263916015625,171.79454040527344,866.6486206054688|0.9974520206451416,-1.89006907902467e-08,0.07134034484624863|1.9227000436217168e-08,1,-3.887274946379193e-09|Running
-918.9713745117188,171.79454040527344,866.44140625|0.9974520206451416,-1.8880507823837434e-08,0.07134068012237549|1.920646930386738e-08,1,-3.883120935910256e-09|Running
-918.516357421875,171.79454040527344,866.2341918945312|0.9974521398544312,-1.8860355055494438e-08,0.07133858650922775|1.9185959487799664e-08,1,-3.878976251314725e-09|Running
-918.060791015625,171.79454040527344,866.0283203125|0.9974521398544312,-1.88402093925788e-08,0.07133892178535461|1.9165465658943504e-08,1,-3.874835119432873e-09|Running
-917.4216918945312,171.79454040527344,865.7430419921875|0.997452437877655,-2.6342537040591196e-08,0.0713343471288681|2.6797279062407142e-08,1,-5.41781197682667e-09|Running
-916.9642944335938,171.79454040527344,865.5411376953125|0.997452437877655,-1.879198485710276e-08,0.07133481651544571|1.9116386695827714e-08,1,-3.864905284700626e-09|Running
-916.5056762695312,171.79454040527344,865.3419189453125|0.9974529147148132,-1.8771958210095363e-08,0.07132833451032639|1.9095979908456684e-08,1,-3.8607779195842795e-09|Running
-916.230224609375,171.79454040527344,865.2230224609375|0.9974530935287476,-1.1253562526292171e-08,0.07132551819086075|1.144780092943165e-08,1,-2.314487712595792e-09|Running
-915.7703857421875,171.79454040527344,865.0267944335938|0.9974532723426819,-1.8739934048994655e-08,0.0713232010602951|1.9063376655026332e-08,1,-3.854184527085636e-09|Running
-915.3099365234375,171.79454040527344,864.83203125|0.9974535703659058,-1.87199589163356e-08,0.0713190957903862|1.904303381650152e-08,1,-3.8500709287347945e-09|Running
-914.8485717773438,171.79454040527344,864.6394653320312|0.9979491829872131,-1.873751998004991e-08,0.0640113577246666|1.90227176233293e-08,1,-3.8459626594544716e-09|Running
-914.4803466796875,171.79454040527344,864.4832763671875|0.9979491233825684,-1.49756118617006e-08,0.06401168555021286|1.52035521949756e-08,1,-3.0738127598795018e-09|Running
-914.1119384765625,171.79454040527344,864.3274536132812|0.9983845949172974,-1.4991528018981626e-08,0.056817203760147095|1.5190563473765906e-08,1,-3.0711857501586337e-09|Running
-913.7437744140625,171.79454040527344,864.1710205078125|0.9982154965400696,-1.4967271866339615e-08,0.05971428379416466|1.5177594292481444e-08,1,-3.0685594065715804e-09|Running
-913.2826538085938,171.79454040527344,863.977783203125|0.9982155561447144,-1.8691117986691097e-08,0.05971326306462288|1.895376122718062e-08,1,-3.8320124851054516e-09|Running
-912.9135131835938,171.79454040527344,863.823486328125|0.9982157349586487,-1.4938535741748638e-08,0.0597105547785759|1.5148438947676368e-08,1,-3.062663900266216e-09|Running
-912.5443725585938,171.79454040527344,863.669189453125|0.9982157349586487,-1.4925786828712262e-08,0.05971080809831619|1.5135510622599213e-08,1,-3.060047992775594e-09|Running
-912.0829467773438,171.79454040527344,863.476318359375|0.998215913772583,-1.8639328303038383e-08,0.0597076490521431|1.8901214815514322e-08,1,-3.821380989421641e-09|Running
-911.7138061523438,171.79454040527344,863.322021484375|0.9982159733772278,-1.4897142186498513e-08,0.0597066655755043|1.5106445871992946e-08,1,-3.0541640327896857e-09|Running
-911.2523803710938,171.79454040527344,863.129150390625|0.9985460042953491,-1.8631890696951814e-08,0.05390624701976776|1.8864920292571696e-08,1,-3.8140344216230915e-09|Running
-910.8841552734375,171.79454040527344,862.9729614257812|0.9985460042953491,-1.4891192279264942e-08,0.05390656366944313|1.507743796480554e-08,1,-3.048292285257048e-09|Running
-910.5159912109375,171.79454040527344,862.8164672851562|0.9985461235046387,-1.4878487775149551e-08,0.0539042204618454|1.5064564706790406e-08,1,-3.045687035907463e-09|Running
-910.0557861328125,171.79454040527344,862.620849609375|0.9985461235046387,-1.858025200363045e-08,0.05390448495745659|1.8812627899933432e-08,1,-3.8034517757523645e-09|Running
-909.6876220703125,171.79454040527344,862.46435546875|0.9989779591560364,-1.488287715289971e-08,0.04519999027252197|1.503564384108813e-08,1,-3.0398381589691326e-09|Running
-909.2290649414062,171.79454040527344,862.2652587890625|0.9988425970077515,-1.8572176685438535e-08,0.048098959028720856|1.877649857817687e-08,1,-3.796146508250331e-09|Running
